"BehaviorSpace results (NetLogo 6.1.1)"
"Ejemplo Certamen.nlogo"
"experiment6 spt vs propuesta 60 tiempos"
"11/11/2020 12:59:44:361 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","4","-3","3"
"[run number]","Tasa_M2","Tasa_M3","Tasa_M4","T_P6_M2","P2","P3","T_P5_M2","P4","T_P4_M2","Tasa_M1","P5","T_P3_M2","P6","T_P2_M2","T_P1_M1","T_P1_M2","nP6","T_P6_M1","P1","T_P5_M1","T_P4_M1","nP1","T_P3_M1","nP2","nP3","T_P2_M1","nP4","nP5","Heuristica","Llegada_pedido","[step]","makespan","registro_M1","tmp_utilizacion_M2","tmp_utilizacion_M3","tmp_utilizacion_M4"
"111","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","51","129","128","113","124","126","120"
"114","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","54","133","132","113","131","124","115"
"112","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","52","133","132","113","131","124","115"
"103","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","43","133","132","113","131","124","115"
"110","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","50","129","128","113","124","126","120"
"115","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","55","133","132","113","131","124","115"
"119","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","59","131","130","113","129","118","123"
"118","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","58","131","130","113","129","118","123"
"117","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","57","133","132","113","131","124","115"
"120","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","60","131","130","113","129","118","123"
"116","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","56","133","132","113","131","124","115"
